A:7E X:04 Y:7E S:F7 P:nvUbdIzc         $D028: B9 00 05  LDA $0500,Y @ $057E = #$FF
A:FF X:04 Y:7E S:F7 P:NvUbdIzc         $D02B: C9 01     CMP #$01
A:FF X:04 Y:7E S:F7 P:NvUbdIzC         $D02D: D0 1C     BNE $D04B
A:FF X:04 Y:7E S:F7 P:NvUbdIzC         $D04B: 60        RTS (from $D023) ----------------------------
A:FF X:04 Y:7E S:F9 P:NvUbdIzC       $CFFD: E8        INX
A:FF X:05 Y:7E S:F9 P:nvUbdIzC       $CFFE: 68        PLA
A:06 X:05 Y:7E S:FA P:nvUbdIzC      $CFFF: 18        CLC
A:06 X:05 Y:7E S:FA P:nvUbdIzc      $D000: 69 FF     ADC #$FF
A:05 X:05 Y:7E S:FA P:nvUbdIzC      $D002: D0 F2     BNE $CFF6
A:05 X:05 Y:7E S:FA P:nvUbdIzC      $CFF6: 48        PHA
A:05 X:05 Y:7E S:F9 P:nvUbdIzC       $CFF7: BD 83 06  LDA $0683,X @ $0688 = #$FF
A:FF X:05 Y:7E S:F9 P:NvUbdIzC       $CFFA: 20 23 D0  JSR $D023
A:FF X:05 Y:7E S:F7 P:NvUbdIzC         $D023: C9 FF     CMP #$FF
A:FF X:05 Y:7E S:F7 P:nvUbdIZC         $D025: F0 24     BEQ $D04B
A:FF X:05 Y:7E S:F7 P:nvUbdIZC         $D04B: 60        RTS (from $D023) ----------------------------
A:FF X:05 Y:7E S:F9 P:nvUbdIZC       $CFFD: E8        INX
A:FF X:06 Y:7E S:F9 P:nvUbdIzC       $CFFE: 68        PLA
A:05 X:06 Y:7E S:FA P:nvUbdIzC      $CFFF: 18        CLC
A:05 X:06 Y:7E S:FA P:nvUbdIzc      $D000: 69 FF     ADC #$FF
A:04 X:06 Y:7E S:FA P:nvUbdIzC      $D002: D0 F2     BNE $CFF6
A:04 X:06 Y:7E S:FA P:nvUbdIzC      $CFF6: 48        PHA
A:04 X:06 Y:7E S:F9 P:nvUbdIzC       $CFF7: BD 83 06  LDA $0683,X @ $0689 = #$FF
A:FF X:06 Y:7E S:F9 P:NvUbdIzC       $CFFA: 20 23 D0  JSR $D023
A:FF X:06 Y:7E S:F7 P:NvUbdIzC         $D023: C9 FF     CMP #$FF
A:FF X:06 Y:7E S:F7 P:nvUbdIZC         $D025: F0 24     BEQ $D04B
A:FF X:06 Y:7E S:F7 P:nvUbdIZC         $D04B: 60        RTS (from $D023) ----------------------------
A:FF X:06 Y:7E S:F9 P:nvUbdIZC       $CFFD: E8        INX
A:FF X:07 Y:7E S:F9 P:nvUbdIzC       $CFFE: 68        PLA
A:04 X:07 Y:7E S:FA P:nvUbdIzC      $CFFF: 18        CLC
A:04 X:07 Y:7E S:FA P:nvUbdIzc      $D000: 69 FF     ADC #$FF
A:03 X:07 Y:7E S:FA P:nvUbdIzC      $D002: D0 F2     BNE $CFF6
A:03 X:07 Y:7E S:FA P:nvUbdIzC      $CFF6: 48        PHA
A:03 X:07 Y:7E S:F9 P:nvUbdIzC       $CFF7: BD 83 06  LDA $0683,X @ $068A = #$FF
A:FF X:07 Y:7E S:F9 P:NvUbdIzC       $CFFA: 20 23 D0  JSR $D023
A:FF X:07 Y:7E S:F7 P:NvUbdIzC         $D023: C9 FF     CMP #$FF
A:FF X:07 Y:7E S:F7 P:nvUbdIZC         $D025: F0 24     BEQ $D04B
A:FF X:07 Y:7E S:F7 P:nvUbdIZC         $D04B: 60        RTS (from $D023) ----------------------------
A:FF X:07 Y:7E S:F9 P:nvUbdIZC       $CFFD: E8        INX
A:FF X:08 Y:7E S:F9 P:nvUbdIzC       $CFFE: 68        PLA
A:03 X:08 Y:7E S:FA P:nvUbdIzC      $CFFF: 18        CLC
A:03 X:08 Y:7E S:FA P:nvUbdIzc      $D000: 69 FF     ADC #$FF
A:02 X:08 Y:7E S:FA P:nvUbdIzC      $D002: D0 F2     BNE $CFF6
A:02 X:08 Y:7E S:FA P:nvUbdIzC      $CFF6: 48        PHA
A:02 X:08 Y:7E S:F9 P:nvUbdIzC       $CFF7: BD 83 06  LDA $0683,X @ $068B = #$FF
A:FF X:08 Y:7E S:F9 P:NvUbdIzC       $CFFA: 20 23 D0  JSR $D023
A:FF X:08 Y:7E S:F7 P:NvUbdIzC         $D023: C9 FF     CMP #$FF
A:FF X:08 Y:7E S:F7 P:nvUbdIZC         $D025: F0 24     BEQ $D04B
A:FF X:08 Y:7E S:F7 P:nvUbdIZC         $D04B: 60        RTS (from $D023) ----------------------------
A:FF X:08 Y:7E S:F9 P:nvUbdIZC       $CFFD: E8        INX
A:FF X:09 Y:7E S:F9 P:nvUbdIzC       $CFFE: 68        PLA
A:02 X:09 Y:7E S:FA P:nvUbdIzC      $CFFF: 18        CLC
A:02 X:09 Y:7E S:FA P:nvUbdIzc      $D000: 69 FF     ADC #$FF
A:01 X:09 Y:7E S:FA P:nvUbdIzC      $D002: D0 F2     BNE $CFF6
A:01 X:09 Y:7E S:FA P:nvUbdIzC      $CFF6: 48        PHA
A:01 X:09 Y:7E S:F9 P:nvUbdIzC       $CFF7: BD 83 06  LDA $0683,X @ $068C = #$FF
A:FF X:09 Y:7E S:F9 P:NvUbdIzC       $CFFA: 20 23 D0  JSR $D023
A:FF X:09 Y:7E S:F7 P:NvUbdIzC         $D023: C9 FF     CMP #$FF
A:FF X:09 Y:7E S:F7 P:nvUbdIZC         $D025: F0 24     BEQ $D04B
A:FF X:09 Y:7E S:F7 P:nvUbdIZC         $D04B: 60        RTS (from $D023) ----------------------------
A:FF X:09 Y:7E S:F9 P:nvUbdIZC       $CFFD: E8        INX
